temp sur;temp centro;temp norte
24.25;23.8;21.35
25.5;26.25;24.1
25.4;25;24.25
27.25;26.75;26.15
26.7;26.05;28.25
24.1;22.25;24.4
24.6;24.5;24.95
27.35;27.4;25.6
25.3;24.5;24.45
28.55;26.35;26.65
25.6;24.25;26.8
22.8;23;22.5
23.45;23.15;23
24.6;25;23.8
23.9;23.4;24.6
24.95;21.75;23.15
21.25;20;22.65
21.7;21.75;20.4
25.1;23.2;24.2
27;25.25;24.3
26.7;25.5;25.25
27.6;27.65;27.1
29.6;27.6;28.5
29.95;28;29.3
29.7;29.1;28.35
27;23.8;25.65
28.15;27;26.65
25;26.2;26.35
25.5;22;24.3
22.55;20.5;22.3
19.4;18.4;21.05
22.9;22.25;23.6
21.05;19.45;21.6
22.1;22.75;20.8
21.8;22.45;22.25
21.25;23;21.9
21.75;23.75;22.3
25.05;24.05;22.95
23.65;24.95;24.65
23;22.95;23.3
23.85;21.2;23.3
23.8;22.6;23
23.35;23.3;24.25
25.25;23.5;24.5
24.9;24.2;24.8
24.45;25.55;24.65
21.8;23.55;23.05
21.3;22.3;20.55
23.8;24.05;22.2
23.4;22.6;22.7
20.55;23.25;23.8
25.2;25.4;25.3
26.9;28.65;27.4
25.8;25.7;24.85
22.95;24.2;24.45
24.2;24.25;22.95
25.7;24.1;25.35
26.2;26.05;26
26.8;27.9;26.3
26.8;27.2;26.3
26.85;26.6;26.3
26.7;25.95;27.35
27.5;26.45;27.25
25.5;24;24.8
23.5;24.65;23.95
20;20.75;20.25
22.4;21.75;21.2
23.6;23.75;23.6
25.4;24.6;23.65
25.25;24.4;24.35
25.95;23.9;24.15
26.1;25.3;24.85
24.55;25.5;26.55
23.5;24.25;24.5
24.5;23.6;25.25
22.1;21.95;23.35
19.45;19.6;20.45
16.3;16.35;18.2
20.75;18.85;22.1
20.1;19.15;22.65
20.15;20.45;21.3
20;19.2;21.25
20.95;21.25;22.35
21.8;23.6;24.1
21.75;22.25;27.15
21.95;21.75;23.55
18;18.25;19.6
17.9;17.15;17.45
19.5;20.7;19.4
20.35;19.4;20.3
19.25;19.25;19
20.2;19.05;18.3
20.15;19.55;20.45
21.35;21.65;21.3
21.65;22.2;23.65
23.3;21.15;22.35
23.65;22;23.9
25.6;24.35;25.35
25.75;25.05;25.1
23.3;22.95;23.45
20;20.45;22.35
17.75;17.25;19
17.4;17.05;17
17.9;18.1;16.5
19;19.15;19.2
21.8;21.75;22.9
21.25;23;22.7
20.7;21.9;21.6
20.6;22.6;20.95
20.7;21.85;20.8
20.45;22.05;21.15
21.6;20.95;23.2
22.45;21.7;22.35
22.1;19.85;22.65
19;18.3;19.5
15.95;14.85;16.75
15.2;16.15;15.4
15.85;16.15;15.9
16.3;16.55;15.2
16.15;16;15
17.25;16.2;17.45
19.65;19.05;19.2
21.15;21.45;21.2
22.8;24.65;23.1
16.9;18.6;19.75
12.4;13.4;14.25
9.85;12.4;11.8
10.2;11.35;10.3
13.15;13.1;14.4
13.95;14.6;14.15
15;15.9;17.55
9.7;11.4;12.95
10.45;11.3;10.5
11.55;11.9;10.45
13;12.9;12.2
12.7;14.95;12.6
13.75;17;14.85
10.75;16.1;13.05
10.7;14.2;11.45
19.5;20.55;19.25
20.7;21.55;21.5
17.7;17.5;18.65
13.15;10.95;14.6
13;10.85;14.4
9.8;11.8;10.85
13.6;14.55;14
11.45;13.5;12.2
14.25;16.25;12.35
15.7;16.7;15.65
17.4;17;16.4
13.45;13.55;17.8
9.55;10.6;11.2
8.2;8.85;7.85
7.85;9.55;8.65
9.65;10.5;11
10.9;11.2;11.4
12.7;10.6;14.6
16.4;13.95;14.75
14.55;15.75;16.3
16.25;14;14.25
14;13.9;13.15
11.8;13.7;11.4
9.85;11.2;13.55
16.9;15.55;17.45
9.6;10.9;11.75
5.7;7.8;6.85
10.75;11.55;11.3
20.85;19.9;19.65
22.9;23.6;21.8
16.65;16.2;18.35
12.6;12.4;14.35
13.35;14.05;17.85
14.3;16;18.9
11.2;13;14.75
15.5;16.35;21.5
13.1;12.5;17.8
8.9;9.65;11
6.05;8.4;7.55
11.25;10.5;9.35
8.75;9.75;9.65
9.4;10.7;10.5
10.75;11.55;12.1
7.2;7.85;9.1
5.6;7.2;6
8.7;10.25;8.15
10.95;13;11.45
11.45;11.3;13.05
7.5;7.9;8.45
8.7;8.7;8.45
9.9;8.7;9.8
8.15;8.25;8.25
10.85;12.4;12.45
6.8;10.1;11.65
7.95;10.85;12.1
6.65;9.15;8.7
4.3;7.4;5.1
8.4;8.95;7.65
11.05;14.45;12.7
9.7;8.35;10.5
20.1;20.8;21.75
22;20.25;22.2
21.2;15.55;22.7
17.5;16.65;22.85
14.2;13.8;18
11.85;10.45;13.1
8.3;8.45;8.55
7.9;9.8;9.85
10.3;12.35;9.3
10;12.05;10.75
5.6;6.75;8.6
6.25;7.5;5.35
8.6;8.9;8.1
10.45;11.85;13.05
15.9;16.35;17.75
22.1;23.8;22.25
22.2;24.2;21.9
20.5;22.2;19.95
22.15;25.65;21.85
16.7;18.95;21.4
12.75;13.55;18.1
19.7;16.5;22.05
19.95;19.95;21.85
17.8;17.9;20.5
7.9;8.25;12.15
7.65;9;7.05
9.55;10.7;11.05
11.25;11.75;11.55
9.75;10.95;12.65
9.2;11.15;9.15
12.05;13.5;10.7
14.65;16.1;13.5
9.8;10.15;11.8
5.05;7.2;6.7
8.15;8.25;6.8
10.5;11.5;8.5
13.9;13.75;14.3
18.4;20;18.75
23.7;24.05;24
21.5;20.5;25.4
15.6;15.65;19.45
19.5;20.05;19.75
14.8;16.55;17.8
9.4;10.8;12.25
9.2;9.35;10.35
8.8;8.7;8.9
10.35;8.75;11.2
10.7;11.05;11.1
12.25;11.7;11
12.5;13.85;14.9
12.25;12.45;14.3
12;13.35;14.25
14.85;14.95;15
16.15;17.15;17.75
15.2;18.85;16.6
17.95;18.5;19.05
13.7;15.25;14.9
16.15;18.35;16
11.1;12.4;13.1
11;11.15;12.1
13.55;14.1;15.4
15.65;18.25;15.95
16.8;19.3;18.4
11.05;15.1;15.95
9.4;11.55;9.7
12.45;14.1;11.55
13.6;14.7;13.45
17.15;18.4;17.35
19.4;22.05;21.5
21.15;24.65;24.05
20;23;22.35
16.55;16.55;18.5
15.2;17.05;16.9
17.4;18.8;15.65
20.5;23.7;21.8
19.7;19.95;23.4
15.3;17.25;18
11.85;12.6;11.8
11.2;11;12
15.1;14.95;15.35
12.1;14.85;13.9
18.15;20.2;19.05
18.6;21.2;19.95
17.5;20.6;19.55
14.6;18.65;16
16.3;19.3;19.45
14.4;18.15;16.85
16.8;19.1;17.75
18.75;20.4;19.65
21.35;22;20.85
22.1;22.7;22.15
23.75;25.8;24.5
27.85;29.1;27.15
28.05;29.1;28.2
16.15;17.3;20.55
15.7;17.25;19.9
19.9;21.7;24.05
20.75;21.9;23.05
24.35;24.75;24.5
22.2;22.05;23
18.6;18.2;21.15
14.8;17.75;16.5
16.4;18.8;18.25
13.6;15.5;16.9
14.25;14.85;15.35
16.65;17.35;18
18.6;18.9;18.3
19.05;19.35;20
19.85;20.35;19.75
19.6;20.35;19.65
19.1;19.65;19.3
21.5;21.45;21.55
22.25;23.65;22.65
22.9;21.85;23
21.3;21.8;21.05
21.05;21.2;21.8
21.2;22.6;21.7
21.8;23.6;22.1
23.55;23.95;22.35
20.7;20.3;20.6
21.5;21.9;24
19.55;22.9;23.25
21.9;22.4;21.2
23.1;22.9;21.5
22.15;22.05;21.65
20.1;21.25;21.3
22.3;21.4;22.45
23.8;24.3;23.7
26;25.7;26.05
30.25;30.45;30
24.3;26.5;25.75
21.6;23.95;24.7
24;25.2;25.65
22.6;23.1;23.65
23;21.3;21.75
20.7;21.55;23.1
19.95;23.35;23.85
22.5;21.4;24.3
22.35;22.9;22.9
19.8;19.6;21.05
17;16.85;16.8
17.9;18.75;19.05
21.25;20.7;20.5
22.3;22.15;22.35
25.25;24.6;24.25
27.2;26.9;25.6
22.6;25.2;27.95
19.8;19.85;21.8
19.1;19.5;20.8
18.85;20.15;18.45
19.85;21.95;21.5
22;21.95;23.5
25;24.4;24
27;26.2;25.6
24;22.75;25.15
19.1;20.6;19.75
19.75;21.85;19.55
22.85;23.65;20.7
25.15;24;22.4
26.55;25.55;25.4
27.85;26.5;26.65
28.5;28.35;25.55
27.75;26.65;25.8
29.3;27.7;27.1
29.9;27.95;28.3
24.85;23.15;25.05
19;20.8;20.3
