temperature
25
23.6
24
24.7
25.1
22.2
23
24.6
24.6
25.1
26.1
28.3
26.9
28.2
24
20.8
21.3
23.1
28.7
22.5
26.5
25.7
25.6
26.8
28.3
26.2
23.2
23.4
25
20.2
21.7
24
26.3
27.8
27.4
25.9
25.7
28.3
26.6
22.6
20.2
23.1
24.6
25.6
26.2
28.1
28.1
26.8
21.2
21.7
20.2
16.8
18.8
20
22.3
22.5
20.8
22.9
24.3
26.1
26.3
26.5
25.9
27
25.3
25.5
25.7
27.7
29.1
27.1
28.2
27.2
29.4
28.2
21.9
21.9
22.1
20.6
21.6
22.3
21.9
23.7
24.4
27.2
26.6
23.7
20.8
23.2
24.5
25.9
26.9
25.1
18.3
17.2
18.3
20.7
17.5
14.3
15.6
16.8
17.8
18.4
19.9
16.5
14.8
15.1
17.5
18
19.4
21.1
22.8
23.3
22.2
23.8
26.8
22.5
18.7
19.3
18.4
16.1
19.5
18.8
16.5
15.9
18.6
14.7
11.2
12.8
13.7
17.5
21.8
18.9
17.6
14.9
12.5
16.8
19.4
21.6
20.1
21.6
23
17.4
11.1
10.5
11.7
14.4
12.9
16.5
18
18.7
14.9
10.8
7.8
11
11.9
10.9
10.2
13.7
16
16.1
15.6
15.3
11.8
15.9
9.7
9.8
12.2
19.9
23.8
15.9
12.7
14
15.6
13.6
16.3
12.5
9.3
9.5
11.7
11.2
11.9
11.9
7.2
7.8
10.5
13.3
10.7
7.1
9
8.7
9.1
12.2
10.3
10.6
8.4
8.1
9.6
14.8
9.7
20.3
20.2
14.5
15.7
14.1
10.5
8.3
9.1
11.5
11.4
5.8
7.8
10.1
12.2
17.6
23.7
24.7
22.7
25.9
19.3
13.3
15.6
19.1
17.6
8.1
10.2
12.2
13.5
9.8
11.7
13.6
16.9
9
5.7
9.2
10.8
14
20
23.6
20.2
16.1
19.6
16.8
10
9.9
8
9
11
11.5
14
12.5
13
15
17
19
17.5
15.5
17
12.5
11
14.5
18.5
19
13.5
11.5
14
14.5
18
22.5
24.5
22
17
17
19
24
20
16.5
12.5
10.5
14.5
15
20
21
20.5
18.5
18.5
18
19
20.5
22
22.5
26
29.5
28
16
17
23
23
24
18
17
18
17.5
16
17
17.5
21
20.5
21.5
18
18
19
21
23
21
18.5
19
19.5
20.5
20
18.5
18.5
18
19.5
20
19.5
20.5
20.5
21.5
21.5
24.5
22.5
21
20
21
21.5
21
20
20
21
22
22.5
22.5
24.5
24
21
21
23
24
25.5
25.5
24.5
23
22
23.5
24.5
24.5
23
21
23.5
25
26
24.5
23
21.5
23
23
