temp sur;temp centro;temp norte
11.1;12.4;13.1
11.0;11.2;12.1
13.6;14.1;15.4
15.7;18.3;16.0
16.8;19.3;18.4
11.1;15.1;16.0
 9.4;11.6; 9.7
12.5;14.1;11.6
13.6;14.7;13.5
17.2;18.4;17.4
19.4;22.1;21.5
21.2;24.7;24.1
20.0;23.0;22.4
16.6;16.6;18.5
15.2;17.1;16.9
17.4;18.8;15.7
20.5;23.7;21.8
19.7;20.0;23.4
15.3;17.3;18.0
11.9;12.6;11.8
11.2;11.0;12.0
15.1;15.0;15.4
12.1;14.9;13.9
18.2;20.2;19.1
18.6;21.2;20.0
17.5;20.6;19.6
14.6;18.7;16.0
16.3;19.3;19.5
14.4;18.2;16.9
16.8;19.1;17.8
18.8;20.4;19.7
21.4;22.0;20.9
22.1;22.7;22.2
23.8;25.8;24.5
27.9;29.1;27.2
28.1;29.1;28.2
16.2;17.3;20.6
15.7;17.3;19.9
19.9;21.7;24.1
20.8;21.9;23.1
24.4;24.8;24.5
22.2;22.1;23.0
18.6;18.2;21.2
14.8;17.8;16.5
16.4;18.8;18.3
13.6;15.5;16.9
14.3;14.9;15.4
16.7;17.4;18.0
18.6;18.9;18.3
19.1;19.4;20.0
19.9;20.4;19.8
19.6;20.4;19.7
19.1;19.7;19.3
21.5;21.5;21.6
22.3;23.7;22.7
22.9;21.9;23.0
21.3;21.8;21.1
21.1;21.2;21.8
21.2;22.6;21.7
21.8;23.6;22.1
23.6;24.0;22.4
20.7;20.3;20.6
21.5;21.9;24.0
19.6;22.9;23.3
21.9;22.4;21.2
23.1;22.9;21.5
22.2;22.1;21.7
20.1;21.3;21.3
22.3;21.4;22.5
23.8;24.3;23.7
26.0;25.7;26.1
30.3;30.5;30.0
24.3;26.5;25.8
21.6;24.0;24.7
24.0;25.2;25.7
22.6;23.1;23.7
23.0;21.3;21.8
20.7;21.6;23.1
20.0;23.4;23.9
22.5;21.4;24.3
22.4;22.9;22.9
19.8;19.6;21.1
17.0;16.9;16.8
17.9;18.8;19.1
21.3;20.7;20.5
22.3;22.2;22.4
25.3;24.6;24.3
27.2;26.9;25.6
22.6;25.2;28.0
19.8;19.9;21.8
19.1;19.5;20.8
18.9;20.2;18.5
19.9;22.0;21.5
22.0;22.0;23.5
25.0;24.4;24.0
27.0;26.2;25.6
24.0;22.8;25.2
19.1;20.6;19.8
19.8;21.9;19.6
22.9;23.7;20.7
25.2;24.0;22.4
26.6;25.6;25.4
27.9;26.5;26.7
28.5;28.4;25.6
27.8;26.7;25.8
29.3;27.7;27.1
29.9;28.0;28.3
24.9;23.2;25.1
19.0;20.8;20.3
