temp sur;temp centro;temp norte
11.8;10.0;10.2
10.5; 9.7;11.4
 5.4; 6.4; 6.9
 6.0; 4.7; 4.6
 5.3; 5.2; 5.4
 6.5; 5.8; 5.4
 9.9; 9.9;10.6
 9.7;11.5;10.8
 7.8; 8.0; 8.5
 9.7;10.6; 8.2
 9.4;12.3; 9.7
13.5;15.4;14.4
17.3;19.3;17.4
16.3;17.9;17.4
19.3;20.8;18.9
13.2;14.9;17.6
 7.8;11.7;13.2
18.2;19.4;20.7
15.3;16.7;17.7
11.7;12.7;16.4
 9.8;12.0;12.4
 7.5; 7.4; 6.9
 9.2;10.7;10.7
 7.4; 7.7; 7.5
 6.7; 8.3; 6.4
 8.5;10.9; 7.7
10.6;11.8;10.4
13.1;15.3;14.3
17.4;18.7;18.7
17.2;18.6;17.8
15.7;14.5;19.4
11.8;12.1;14.6
 5.6; 6.8; 7.1
 6.8; 6.3; 5.9
 5.3; 6.6; 5.8
 8.8; 9.8; 7.0
10.0; 9.9;11.8
 9.2;13.4;10.0
 8.9;10.8; 9.4
10.6;11.0; 8.3
 9.9;12.6;10.9
14.1;13.1;14.0
16.9;16.4;17.1
19.7;21.4;19.5
14.8;19.1;21.6
 9.6; 9.4;15.0
 8.4; 6.5; 7.9
 6.4; 8.0; 5.3
 8.4; 9.6; 6.7
10.2; 9.8; 9.2
12.8;12.5;12.5
10.7;13.9;12.0
14.1;15.6;14.8
16.5;18.6;18.3
19.7;22.8;24.2
16.6;19.0;23.9
14.7;15.8;15.6
11.6;15.2;14.7
16.4;16.8;19.0
11.8;13.5;14.4
11.9;12.2;14.6
12.0;12.2;13.6
10.4;13.7;10.6
12.4;15.1;11.2
14.0;15.9;14.9
15.0;17.6;16.4
19.6;19.9;20.0
23.9;25.4;22.5
20.5;24.8;23.6
16.9;17.5;20.5
16.4;16.7;18.2
15.2;17.8;16.5
16.4;16.0;16.0
16.0;17.7;15.8
16.3;16.0;17.0
14.8;14.0;17.3
12.5;13.1;12.9
12.4;13.9;14.2
16.1;15.3;14.9
19.8;22.6;20.8
18.1;21.2;23.4
14.5;14.4;16.6
11.6;13.6;11.6
13.9;15.9;14.0
17.3;18.3;17.2
18.7;18.2;19.6
16.2;18.1;19.3
18.1;19.3;19.0
12.4;13.1;14.1
10.4;12.2;13.7
16.7;15.0;18.0
14.7;17.3;14.6
15.2;16.9;15.5
18.4;19.6;19.0
19.9;21.5;20.3
17.3;19.2;19.2
17.7;18.4;18.4
16.1;20.1;18.7
17.9;17.5;19.9
14.8;18.5;18.4
12.4;13.1;15.5
11.7;14.6;10.5
15.1;16.9;14.4
13.8;16.7;17.8
11.9;15.0;13.2
12.2;16.2;14.2
15.6;16.7;16.7
17.7;19.8;18.5
18.3;19.5;19.0
18.2;20.2;18.4
19.8;22.8;18.5
15.4;17.7;18.4
15.6;16.8;16.4
15.2;18.3;16.2
14.2;17.9;14.8
14.9;18.1;15.2
17.7;19.9;17.8
