temp sur;temp centro;temp norte
24.3;23.8;21.4
25.5;26.3;24.1
25.4;25.0;24.3
27.3;26.8;26.2
26.7;26.1;28.3
24.1;22.3;24.4
24.6;24.5;25.0
27.4;27.4;25.6
25.3;24.5;24.5
28.6;26.4;26.7
25.6;24.3;26.8
22.8;23.0;22.5
23.5;23.2;23.0
24.6;25.0;23.8
23.9;23.4;24.6
25.0;21.8;23.2
21.3;20.0;22.7
21.7;21.8;20.4
25.1;23.2;24.2
27.0;25.3;24.3
26.7;25.5;25.3
27.6;27.7;27.1
29.6;27.6;28.5
30.0;28.0;29.3
29.7;29.1;28.4
27.0;23.8;25.7
28.2;27.0;26.7
25.0;26.2;26.4
25.5;22.0;24.3
22.6;20.5;22.3
19.4;18.4;21.1
22.9;22.3;23.6
21.1;19.5;21.6
22.1;22.8;20.8
21.8;22.5;22.3
21.3;23.0;21.9
21.8;23.8;22.3
25.1;24.1;23.0
23.7;25.0;24.7
23.0;23.0;23.3
23.9;21.2;23.3
23.8;22.6;23.0
23.4;23.3;24.3
25.3;23.5;24.5
24.9;24.2;24.8
24.5;25.6;24.7
21.8;23.6;23.1
21.3;22.3;20.6
23.8;24.1;22.2
23.4;22.6;22.7
20.6;23.3;23.8
25.2;25.4;25.3
26.9;28.7;27.4
25.8;25.7;24.9
23.0;24.2;24.5
24.2;24.3;23.0
25.7;24.1;25.4
26.2;26.1;26.0
26.8;27.9;26.3
26.9;26.6;26.3
26.7;26.0;27.4
27.5;26.5;27.3
25.5;24.0;24.8
23.5;24.7;24.0
20.0;20.8;20.3
22.4;21.8;21.2
23.6;23.8;23.6
25.4;24.6;23.7
25.3;24.4;24.4
26.0;23.9;24.2
26.1;25.3;24.9
24.6;25.5;26.6
23.5;24.3;24.5
24.5;23.6;25.3
22.1;22.0;23.4
19.5;19.6;20.5
16.3;16.4;18.2
20.8;18.9;22.1
20.1;19.2;22.7
20.2;20.5;21.3
20.0;19.2;21.3
21.0;21.3;22.4
21.8;23.6;24.1
21.8;22.3;27.2
22.0;21.8;23.6
18.0;18.3;19.6
17.9;17.2;17.5
19.5;20.7;19.4
20.4;19.4;20.3
19.3;19.3;19.0
20.2;19.1;18.3
20.2;19.6;20.5
21.4;21.7;21.3
21.7;22.2;23.7
23.3;21.2;22.4
23.7;22.0;23.9
25.6;24.4;25.4
25.8;25.1;25.1
23.3;23.0;23.5
20.0;20.5;22.4
17.8;17.3;19.0
17.4;17.1;17.0
17.9;18.1;16.5
19.0;19.2;19.2
21.8;21.8;22.9
21.3;23.0;22.7
20.7;21.9;21.6
20.6;22.6;21.0
20.7;21.9;20.8
20.5;22.1;21.2
21.6;21.0;23.2
22.5;21.7;22.4
22.1;19.9;22.7
19.0;18.3;19.5
16.0;14.9;16.8
15.2;16.2;15.4
15.9;16.2;15.9
16.3;16.6;15.2
16.2;16.0;15.0
17.3;16.2;17.5
19.7;19.1;19.2
21.2;21.5;21.2
22.8;24.7;23.1
16.9;18.6;19.8
12.4;13.4;14.3
 9.9;12.4;11.8
10.2;11.4;10.3
13.2;13.1;14.4
14.0;14.6;14.2
15.0;15.9;17.6
 9.7;11.4;13.0
10.5;11.3;10.5
11.6;11.9;10.5
13.0;12.9;12.2
12.7;15.0;12.6
13.8;17.0;14.9
10.8;16.1;13.1
10.7;14.2;11.5
13.3;14.9;14.0
14.3;13.7;14.3
13.0;13.2;13.6
12.6;11.1;12.6
12.6;12.9;13.4
11.5;12.6;11.8
13.7;14.3;13.5
12.0;13.7;12.7
15.5;16.4;13.2
16.0;17.5;16.3
10.1;13.8;12.9
 9.0;11.2; 8.7
12.9;15.7;12.8
15.5;15.6;14.2
14.8;17.4;16.2
13.4;15.1;14.5
17.5;21.1;19.7
14.7;17.1;19.3
 9.7;11.7;12.6
11.3;11.1;12.8
15.0;15.0;15.6
15.9;15.7;16.3
14.7;17.6;16.0
 9.5;12.5;11.4
14.3;15.6;13.6
16.0;17.5;15.8
13.2;14.8;14.8
 9.4; 9.6;12.3
 7.8; 7.6; 7.7
 8.6; 8.5; 9.5
 5.8; 7.1; 8.4
 9.5;10.9; 9.3
 5.9;10.2; 8.6
 8.7; 9.3;12.6
13.1;10.3; 9.1
12.3;13.0;13.9
12.5;12.7;13.1
