temperature
25.8
26.0
25.4
26.0
26.6
26.5
26.7
27.3
27.8
26.7
26.2
26.1
26.1
26.2
26.1
26.1
25.8
25.4
26.2
25.7
26.0
26.7
27.6
27.0
25.9
25.9
26.0
26.1
26.9
26.7
26.1
25.5
25.9
25.3
25.1
26.0
26.6
26.9
25.8
26.2
25.2
24.9
24.7
24.4
24.9
25.2
25.5
25.0
25.2
24.8
24.9
24.8
25.0
24.7
24.3
24.1
23.9
24.3
23.6
