"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84.0,9.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0
96.0,13.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0
108.0,13.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0
120.0,13.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0
132.0,13.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0
144.0,13.0,6.0,2.0,4.0,0.0,5.0,0.0,0.0
156.0,14.0,7.0,2.0,5.0,0.0,6.0,0.0,0.0
168.0,15.0,6.0,2.0,4.0,0.0,7.0,0.0,0.0
180.0,17.0,6.0,2.0,4.0,0.0,7.0,0.0,0.0
192.0,17.0,5.0,2.0,3.0,0.0,8.0,0.0,0.0
204.0,19.0,4.0,1.0,3.0,0.0,10.0,0.0,0.0
216.0,19.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0
228.0,19.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0
240.0,19.0,3.0,2.0,1.0,0.0,13.0,0.0,0.0
252.0,20.0,5.0,4.0,1.0,0.0,13.0,0.0,0.0
264.0,22.0,5.0,5.0,0.0,0.0,14.0,0.0,0.0
276.0,29.0,5.0,5.0,0.0,0.0,14.0,0.0,0.0
288.0,30.0,5.0,5.0,0.0,0.0,14.0,0.0,0.0
300.0,32.0,3.0,3.0,0.0,0.0,16.0,0.0,0.0
312.0,34.0,3.0,2.0,1.0,0.0,17.0,0.0,0.0
324.0,34.0,4.0,2.0,2.0,0.0,18.0,0.0,0.0
336.0,38.0,8.0,3.0,5.0,0.0,19.0,0.0,0.0
348.0,43.0,12.0,4.0,8.0,0.0,19.0,0.0,0.0
360.0,44.0,14.0,5.0,9.0,0.0,19.0,0.0,0.0
372.0,48.0,15.0,5.0,10.0,0.0,19.0,0.0,0.0
384.0,54.0,12.0,4.0,8.0,0.0,22.0,0.0,0.0
396.0,55.0,12.0,3.0,9.0,0.0,27.0,0.0,0.0
408.0,57.0,11.0,2.0,9.0,0.0,30.0,0.0,0.0
420.0,60.0,13.0,4.0,9.0,0.0,32.0,0.0,0.0
432.0,62.0,17.0,7.0,10.0,0.0,33.0,0.0,0.0
444.0,68.0,16.0,7.0,9.0,0.0,36.0,0.0,0.0
456.0,73.0,15.0,7.0,8.0,1.0,40.0,1.0,0.0
468.0,74.0,15.0,7.0,8.0,1.0,43.0,1.0,0.0
480.0,80.0,15.0,7.0,8.0,1.0,45.0,1.0,0.0
492.0,84.0,13.0,3.0,10.0,1.0,49.0,1.0,0.0
504.0,87.0,17.0,6.0,11.0,1.0,51.0,1.0,0.0
516.0,90.0,18.0,6.0,12.0,1.0,55.0,1.0,0.0
528.0,90.0,17.0,7.0,10.0,1.0,56.0,1.0,0.0
