"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
72.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
96.0,11.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0
108.0,13.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0
120.0,15.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0
132.0,15.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0
144.0,15.0,6.0,2.0,4.0,0.0,3.0,0.0,0.0
156.0,15.0,5.0,1.0,4.0,0.0,6.0,0.0,0.0
168.0,16.0,6.0,0.0,6.0,0.0,7.0,0.0,0.0
180.0,17.0,8.0,1.0,7.0,0.0,7.0,0.0,0.0
192.0,17.0,7.0,1.0,6.0,0.0,8.0,0.0,0.0
204.0,18.0,7.0,1.0,6.0,0.0,8.0,0.0,0.0
216.0,19.0,3.0,1.0,2.0,0.0,12.0,0.0,0.0
228.0,20.0,2.0,2.0,0.0,0.0,14.0,0.0,0.0
240.0,24.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0
252.0,27.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0
264.0,29.0,3.0,3.0,0.0,0.0,15.0,0.0,0.0
276.0,30.0,4.0,3.0,1.0,0.0,15.0,0.0,0.0
288.0,31.0,5.0,4.0,1.0,0.0,15.0,0.0,0.0
300.0,35.0,7.0,5.0,2.0,0.0,17.0,0.0,0.0
312.0,38.0,10.0,6.0,4.0,0.0,17.0,0.0,0.0
324.0,38.0,9.0,5.0,4.0,0.0,18.0,0.0,0.0
336.0,38.0,10.0,7.0,3.0,0.0,20.0,0.0,0.0
348.0,42.0,11.0,7.0,4.0,0.0,20.0,0.0,0.0
360.0,46.0,9.0,5.0,4.0,0.0,26.0,0.0,0.0
372.0,46.0,10.0,5.0,5.0,0.0,27.0,0.0,0.0
384.0,49.0,11.0,5.0,6.0,0.0,27.0,0.0,0.0
396.0,49.0,11.0,5.0,6.0,0.0,29.0,0.0,0.0
408.0,50.0,12.0,4.0,8.0,0.0,31.0,0.0,0.0
420.0,53.0,10.0,2.0,8.0,0.0,34.0,0.0,0.0
432.0,56.0,9.0,3.0,6.0,0.0,37.0,0.0,0.0
444.0,61.0,10.0,3.0,7.0,0.0,38.0,0.0,0.0
456.0,61.0,10.0,3.0,7.0,0.0,39.0,0.0,0.0
468.0,66.0,9.0,3.0,6.0,0.0,41.0,0.0,0.0
480.0,68.0,10.0,3.0,7.0,0.0,44.0,0.0,0.0
492.0,69.0,13.0,5.0,8.0,0.0,45.0,0.0,0.0
504.0,73.0,14.0,5.0,9.0,0.0,47.0,0.0,0.0
516.0,77.0,15.0,6.0,9.0,0.0,48.0,0.0,0.0
528.0,82.0,16.0,7.0,9.0,0.0,50.0,0.0,0.0
540.0,85.0,16.0,8.0,8.0,0.0,52.0,0.0,0.0
552.0,89.0,12.0,7.0,5.0,0.0,58.0,0.0,0.0
564.0,94.0,13.0,6.0,7.0,0.0,60.0,0.0,0.0
576.0,95.0,11.0,6.0,5.0,0.0,65.0,0.0,0.0
588.0,101.0,17.0,8.0,9.0,0.0,66.0,0.0,0.0
600.0,107.0,20.0,9.0,11.0,1.0,67.0,1.0,0.0
612.0,110.0,18.0,7.0,11.0,1.0,70.0,1.0,0.0
624.0,114.0,21.0,9.0,12.0,2.0,72.0,2.0,0.0
636.0,120.0,20.0,9.0,11.0,2.0,76.0,2.0,0.0
648.0,133.0,18.0,8.0,10.0,2.0,82.0,2.0,0.0
660.0,138.0,21.0,9.0,12.0,2.0,86.0,2.0,0.0
672.0,149.0,21.0,9.0,12.0,2.0,88.0,2.0,0.0
684.0,155.0,23.0,12.0,11.0,2.0,90.0,2.0,0.0
696.0,167.0,25.0,8.0,17.0,2.0,95.0,3.0,0.0
708.0,172.0,25.0,9.0,16.0,2.0,103.0,3.0,0.0
720.0,176.0,30.0,12.0,18.0,3.0,107.0,4.0,0.0
732.0,184.0,35.0,12.0,23.0,2.0,111.0,4.0,1.0
744.0,195.0,40.0,13.0,27.0,2.0,115.0,4.0,1.0
756.0,201.0,45.0,14.0,31.0,3.0,118.0,5.0,1.0
768.0,214.0,44.0,14.0,30.0,3.0,125.0,5.0,1.0
780.0,222.0,39.0,13.0,26.0,4.0,133.0,6.0,1.0
792.0,232.0,35.0,12.0,23.0,3.0,146.0,6.0,2.0
804.0,242.0,39.0,13.0,26.0,3.0,151.0,6.0,2.0
816.0,249.0,39.0,14.0,25.0,3.0,160.0,6.0,2.0
828.0,262.0,40.0,15.0,25.0,3.0,166.0,7.0,3.0
840.0,270.0,45.0,17.0,28.0,4.0,173.0,8.0,3.0
852.0,284.0,47.0,22.0,25.0,3.0,180.0,8.0,4.0
864.0,294.0,49.0,24.0,25.0,4.0,187.0,9.0,4.0
876.0,307.0,53.0,31.0,22.0,5.0,194.0,10.0,4.0
888.0,321.0,48.0,29.0,19.0,7.0,208.0,12.0,4.0
900.0,336.0,49.0,29.0,20.0,6.0,217.0,12.0,4.0
912.0,353.0,51.0,27.0,24.0,6.0,225.0,12.0,4.0
924.0,366.0,52.0,24.0,28.0,7.0,237.0,13.0,4.0
936.0,376.0,59.0,25.0,34.0,6.0,241.0,13.0,4.0
948.0,388.0,64.0,24.0,40.0,5.0,248.0,13.0,4.0
960.0,397.0,67.0,27.0,40.0,7.0,263.0,15.0,4.0
972.0,415.0,68.0,27.0,41.0,8.0,274.0,16.0,4.0
984.0,427.0,68.0,32.0,36.0,5.0,291.0,16.0,5.0
996.0,439.0,68.0,36.0,32.0,6.0,301.0,18.0,5.0
1008.0,453.0,69.0,33.0,36.0,6.0,313.0,18.0,5.0
1020.0,460.0,62.0,28.0,34.0,6.0,330.0,18.0,5.0
1032.0,474.0,62.0,28.0,34.0,8.0,342.0,20.0,5.0
1044.0,496.0,62.0,24.0,38.0,9.0,355.0,22.0,6.0
1056.0,516.0,62.0,25.0,37.0,9.0,366.0,22.0,6.0
1068.0,528.0,62.0,24.0,38.0,9.0,377.0,23.0,7.0
1080.0,544.0,65.0,23.0,42.0,7.0,386.0,23.0,7.0
1092.0,560.0,69.0,26.0,43.0,7.0,400.0,23.0,7.0
1104.0,578.0,81.0,32.0,49.0,6.0,413.0,23.0,8.0
1116.0,604.0,78.0,30.0,48.0,5.0,425.0,23.0,9.0
1128.0,632.0,80.0,29.0,51.0,5.0,436.0,23.0,9.0
1140.0,649.0,83.0,28.0,55.0,4.0,450.0,24.0,9.0
1152.0,653.0,83.0,27.0,56.0,5.0,469.0,25.0,9.0
1164.0,658.0,80.0,27.0,53.0,3.0,488.0,25.0,10.0
1176.0,678.0,91.0,28.0,63.0,4.0,504.0,26.0,10.0
1188.0,693.0,98.0,37.0,61.0,4.0,517.0,27.0,10.0
1200.0,713.0,98.0,44.0,54.0,5.0,536.0,28.0,10.0
1212.0,738.0,90.0,43.0,47.0,5.0,551.0,28.0,10.0
1224.0,764.0,82.0,39.0,43.0,6.0,570.0,29.0,10.0
1236.0,779.0,71.0,37.0,34.0,5.0,592.0,29.0,11.0
1248.0,790.0,63.0,32.0,31.0,5.0,616.0,29.0,11.0
1260.0,810.0,74.0,32.0,42.0,6.0,629.0,30.0,11.0
1272.0,827.0,88.0,31.0,57.0,7.0,638.0,32.0,11.0
1284.0,852.0,99.0,40.0,59.0,6.0,649.0,32.0,11.0
1296.0,879.0,97.0,40.0,57.0,5.0,664.0,32.0,12.0
1308.0,902.0,101.0,38.0,63.0,5.0,682.0,32.0,12.0
1320.0,923.0,92.0,39.0,53.0,4.0,703.0,32.0,12.0
1332.0,943.0,82.0,38.0,44.0,4.0,728.0,32.0,12.0
1344.0,967.0,97.0,42.0,55.0,5.0,744.0,34.0,12.0
1356.0,996.0,102.0,45.0,57.0,5.0,764.0,34.0,12.0
1368.0,1017.0,109.0,46.0,63.0,6.0,777.0,35.0,12.0
1380.0,1038.0,113.0,47.0,66.0,4.0,795.0,35.0,12.0
1392.0,1055.0,107.0,45.0,62.0,3.0,822.0,35.0,12.0
1404.0,1083.0,116.0,52.0,64.0,3.0,838.0,35.0,12.0
1416.0,1111.0,114.0,50.0,64.0,3.0,863.0,35.0,12.0
1428.0,1130.0,116.0,53.0,63.0,4.0,883.0,36.0,12.0
1440.0,1156.0,115.0,51.0,64.0,4.0,903.0,36.0,12.0
