"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
108.0,7.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
120.0,8.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
132.0,10.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0
144.0,12.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0
156.0,14.0,5.0,2.0,3.0,1.0,2.0,1.0,0.0
168.0,16.0,5.0,2.0,3.0,1.0,3.0,1.0,0.0
180.0,17.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0
192.0,19.0,5.0,4.0,1.0,1.0,5.0,1.0,0.0
204.0,19.0,6.0,4.0,2.0,1.0,5.0,1.0,0.0
216.0,22.0,7.0,5.0,2.0,1.0,5.0,1.0,0.0
228.0,24.0,8.0,4.0,4.0,0.0,7.0,1.0,1.0
240.0,27.0,7.0,3.0,4.0,0.0,9.0,1.0,1.0
252.0,29.0,9.0,4.0,5.0,0.0,9.0,1.0,1.0
264.0,35.0,8.0,4.0,4.0,0.0,11.0,1.0,1.0
276.0,39.0,9.0,4.0,5.0,0.0,12.0,1.0,1.0
288.0,42.0,8.0,5.0,3.0,0.0,15.0,1.0,1.0
300.0,46.0,7.0,5.0,2.0,0.0,17.0,1.0,1.0
312.0,49.0,13.0,6.0,7.0,0.0,18.0,1.0,1.0
324.0,51.0,16.0,7.0,9.0,0.0,18.0,1.0,1.0
336.0,51.0,15.0,5.0,10.0,0.0,22.0,1.0,1.0
348.0,55.0,17.0,5.0,12.0,0.0,24.0,1.0,1.0
360.0,61.0,20.0,6.0,14.0,0.0,24.0,1.0,1.0
372.0,65.0,17.0,4.0,13.0,0.0,30.0,1.0,1.0
384.0,67.0,15.0,4.0,11.0,0.0,34.0,1.0,1.0
396.0,68.0,15.0,4.0,11.0,0.0,35.0,1.0,1.0
408.0,70.0,15.0,4.0,11.0,0.0,39.0,1.0,1.0
420.0,72.0,14.0,3.0,11.0,0.0,45.0,1.0,1.0
432.0,75.0,18.0,6.0,12.0,0.0,47.0,1.0,1.0
444.0,83.0,19.0,8.0,11.0,0.0,48.0,1.0,1.0
456.0,85.0,16.0,7.0,9.0,0.0,51.0,1.0,1.0
468.0,89.0,13.0,7.0,6.0,0.0,56.0,1.0,1.0
480.0,91.0,11.0,6.0,5.0,0.0,59.0,1.0,1.0
492.0,94.0,9.0,3.0,6.0,0.0,64.0,1.0,1.0
504.0,99.0,14.0,4.0,10.0,1.0,67.0,2.0,1.0
516.0,101.0,17.0,5.0,12.0,1.0,67.0,2.0,1.0
528.0,101.0,19.0,6.0,13.0,1.0,68.0,2.0,1.0
