"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
60.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
72.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84.0,18.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
96.0,20.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
108.0,20.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0
120.0,20.0,7.0,2.0,5.0,0.0,2.0,0.0,0.0
132.0,21.0,11.0,3.0,8.0,0.0,2.0,0.0,0.0
144.0,26.0,14.0,5.0,9.0,0.0,2.0,0.0,0.0
156.0,32.0,15.0,6.0,9.0,0.0,4.0,0.0,0.0
168.0,35.0,14.0,6.0,8.0,0.0,6.0,0.0,0.0
180.0,38.0,10.0,5.0,5.0,0.0,11.0,0.0,0.0
192.0,41.0,11.0,6.0,5.0,0.0,13.0,0.0,0.0
204.0,45.0,12.0,6.0,6.0,0.0,16.0,0.0,0.0
216.0,46.0,13.0,5.0,8.0,0.0,18.0,0.0,0.0
228.0,48.0,16.0,4.0,12.0,1.0,20.0,1.0,0.0
240.0,48.0,16.0,4.0,12.0,1.0,22.0,1.0,0.0
252.0,49.0,17.0,6.0,11.0,1.0,25.0,1.0,0.0
264.0,52.0,15.0,6.0,9.0,1.0,29.0,1.0,0.0
276.0,56.0,14.0,5.0,9.0,1.0,32.0,1.0,0.0
288.0,57.0,13.0,5.0,8.0,1.0,34.0,1.0,0.0
300.0,58.0,9.0,3.0,6.0,1.0,38.0,1.0,0.0
312.0,59.0,8.0,3.0,5.0,1.0,40.0,1.0,0.0
324.0,61.0,6.0,3.0,3.0,1.0,43.0,1.0,0.0
336.0,66.0,8.0,5.0,3.0,0.0,46.0,1.0,1.0
348.0,73.0,10.0,5.0,5.0,0.0,47.0,1.0,1.0
360.0,79.0,10.0,5.0,5.0,0.0,47.0,1.0,1.0
372.0,80.0,10.0,5.0,5.0,0.0,47.0,1.0,1.0
384.0,84.0,9.0,5.0,4.0,0.0,49.0,1.0,1.0
396.0,89.0,14.0,8.0,6.0,0.0,53.0,1.0,1.0
408.0,96.0,18.0,9.0,9.0,0.0,55.0,1.0,1.0
420.0,102.0,18.0,9.0,9.0,0.0,57.0,1.0,1.0
432.0,107.0,21.0,10.0,11.0,1.0,58.0,2.0,1.0
444.0,114.0,20.0,11.0,9.0,1.0,60.0,2.0,1.0
456.0,120.0,25.0,14.0,11.0,1.0,65.0,2.0,1.0
468.0,125.0,19.0,10.0,9.0,1.0,73.0,2.0,1.0
480.0,129.0,25.0,10.0,15.0,1.0,75.0,2.0,1.0
492.0,130.0,31.0,12.0,19.0,2.0,77.0,3.0,1.0
504.0,134.0,28.0,10.0,18.0,2.0,83.0,3.0,1.0
516.0,138.0,25.0,10.0,15.0,2.0,90.0,3.0,1.0
528.0,147.0,29.0,11.0,18.0,2.0,93.0,3.0,1.0
540.0,154.0,25.0,9.0,16.0,2.0,101.0,4.0,1.0
552.0,161.0,19.0,6.0,13.0,2.0,109.0,4.0,1.0
564.0,166.0,18.0,5.0,13.0,2.0,111.0,4.0,1.0
576.0,170.0,19.0,5.0,14.0,3.0,115.0,5.0,1.0
588.0,174.0,25.0,8.0,17.0,4.0,119.0,6.0,1.0
600.0,174.0,27.0,10.0,17.0,4.0,125.0,6.0,1.0
612.0,180.0,35.0,13.0,22.0,4.0,126.0,7.0,1.0
624.0,187.0,32.0,14.0,18.0,4.0,130.0,7.0,1.0
636.0,199.0,33.0,13.0,20.0,3.0,134.0,7.0,1.0
648.0,203.0,31.0,11.0,20.0,3.0,140.0,7.0,1.0
660.0,206.0,20.0,5.0,15.0,3.0,151.0,7.0,1.0
672.0,212.0,14.0,4.0,10.0,3.0,159.0,8.0,2.0
684.0,217.0,21.0,9.0,12.0,2.0,164.0,8.0,3.0
696.0,225.0,27.0,11.0,16.0,2.0,165.0,8.0,3.0
708.0,237.0,28.0,13.0,15.0,1.0,171.0,8.0,3.0
720.0,240.0,29.0,15.0,14.0,1.0,172.0,8.0,3.0
732.0,251.0,34.0,19.0,15.0,1.0,173.0,8.0,3.0
744.0,261.0,30.0,19.0,11.0,1.0,184.0,8.0,3.0
