"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
12.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
24.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
36.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
48.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
60.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
72.0,19.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
84.0,19.0,7.0,1.0,6.0,0.0,2.0,0.0,0.0
96.0,19.0,9.0,2.0,7.0,0.0,2.0,0.0,0.0
108.0,21.0,12.0,5.0,7.0,0.0,2.0,0.0,0.0
120.0,25.0,14.0,6.0,8.0,1.0,2.0,1.0,0.0
132.0,28.0,16.0,8.0,8.0,1.0,3.0,1.0,0.0
144.0,31.0,10.0,6.0,4.0,1.0,9.0,1.0,0.0
156.0,33.0,9.0,5.0,4.0,1.0,11.0,1.0,0.0
168.0,34.0,10.0,6.0,4.0,1.0,12.0,1.0,0.0
180.0,35.0,9.0,4.0,5.0,1.0,15.0,1.0,0.0
192.0,38.0,10.0,5.0,5.0,1.0,16.0,1.0,0.0
204.0,38.0,13.0,5.0,8.0,1.0,18.0,1.0,0.0
216.0,39.0,11.0,5.0,6.0,1.0,20.0,1.0,0.0
228.0,43.0,11.0,5.0,6.0,1.0,22.0,1.0,0.0
240.0,48.0,11.0,5.0,6.0,0.0,23.0,1.0,1.0
252.0,50.0,9.0,4.0,5.0,0.0,26.0,1.0,1.0
264.0,53.0,8.0,4.0,4.0,0.0,29.0,1.0,1.0
276.0,53.0,9.0,5.0,4.0,0.0,31.0,1.0,1.0
288.0,54.0,13.0,7.0,6.0,0.0,31.0,1.0,1.0
300.0,56.0,11.0,4.0,7.0,0.0,35.0,1.0,1.0
312.0,60.0,13.0,3.0,10.0,1.0,36.0,2.0,1.0
324.0,62.0,15.0,4.0,11.0,2.0,37.0,3.0,1.0
336.0,63.0,12.0,3.0,9.0,2.0,40.0,3.0,1.0
348.0,66.0,10.0,2.0,8.0,2.0,43.0,3.0,1.0
360.0,66.0,11.0,1.0,10.0,2.0,45.0,3.0,1.0
372.0,67.0,11.0,3.0,8.0,2.0,47.0,3.0,1.0
384.0,72.0,9.0,3.0,6.0,2.0,50.0,3.0,1.0
396.0,73.0,12.0,4.0,8.0,2.0,50.0,3.0,1.0
408.0,75.0,10.0,4.0,6.0,2.0,53.0,3.0,1.0
420.0,77.0,9.0,3.0,6.0,1.0,55.0,3.0,1.0
432.0,79.0,6.0,1.0,5.0,0.0,60.0,3.0,1.0
444.0,80.0,4.0,1.0,3.0,0.0,63.0,3.0,1.0
456.0,84.0,9.0,2.0,7.0,0.0,63.0,3.0,1.0
468.0,87.0,11.0,5.0,6.0,0.0,64.0,3.0,1.0
480.0,88.0,11.0,6.0,5.0,0.0,65.0,3.0,1.0
492.0,91.0,11.0,6.0,5.0,0.0,66.0,3.0,1.0
504.0,94.0,11.0,6.0,5.0,0.0,67.0,3.0,1.0
516.0,94.0,9.0,7.0,2.0,0.0,71.0,3.0,1.0
528.0,95.0,10.0,6.0,4.0,0.0,75.0,3.0,1.0
540.0,95.0,9.0,6.0,3.0,0.0,77.0,3.0,1.0
552.0,98.0,12.0,7.0,5.0,0.0,78.0,3.0,1.0
