"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
36.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
48.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
60.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
72.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
84.0,7.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
96.0,7.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0
108.0,7.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0
120.0,8.0,5.0,0.0,5.0,1.0,2.0,1.0,0.0
132.0,8.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0
144.0,8.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0
156.0,9.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0
168.0,10.0,4.0,0.0,4.0,1.0,3.0,1.0,0.0
180.0,10.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0
192.0,10.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0
204.0,10.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0
216.0,10.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0
228.0,10.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0
240.0,12.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0
252.0,13.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0
264.0,16.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0
276.0,16.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0
288.0,16.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0
300.0,16.0,2.0,1.0,1.0,0.0,9.0,1.0,0.0
312.0,16.0,5.0,1.0,4.0,0.0,10.0,1.0,0.0
324.0,17.0,5.0,1.0,4.0,0.0,10.0,1.0,0.0
336.0,17.0,6.0,2.0,4.0,0.0,10.0,1.0,0.0
348.0,18.0,6.0,2.0,4.0,0.0,10.0,1.0,0.0
360.0,19.0,3.0,1.0,2.0,0.0,13.0,1.0,0.0
372.0,19.0,3.0,1.0,2.0,0.0,13.0,1.0,0.0
384.0,19.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0
396.0,20.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0
408.0,24.0,3.0,1.0,2.0,0.0,16.0,1.0,0.0
420.0,25.0,3.0,1.0,2.0,0.0,16.0,1.0,0.0
432.0,26.0,3.0,1.0,2.0,0.0,16.0,1.0,0.0
444.0,26.0,2.0,1.0,1.0,0.0,17.0,1.0,0.0
456.0,27.0,2.0,2.0,0.0,0.0,18.0,1.0,0.0
468.0,27.0,2.0,1.0,1.0,1.0,19.0,2.0,0.0
480.0,27.0,6.0,1.0,5.0,1.0,19.0,2.0,0.0
