"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
108.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
120.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
132.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
144.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
156.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
168.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
180.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
192.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
204.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
216.0,7.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0
228.0,11.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0
240.0,11.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0
252.0,12.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0
264.0,12.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0
276.0,12.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0
288.0,14.0,3.0,1.0,2.0,0.0,5.0,1.0,1.0
300.0,19.0,6.0,3.0,3.0,0.0,5.0,1.0,1.0
312.0,21.0,6.0,3.0,3.0,0.0,5.0,1.0,1.0
324.0,22.0,5.0,3.0,2.0,0.0,6.0,1.0,1.0
336.0,23.0,4.0,2.0,2.0,0.0,7.0,1.0,1.0
348.0,23.0,6.0,3.0,3.0,1.0,8.0,2.0,1.0
360.0,23.0,9.0,4.0,5.0,1.0,10.0,2.0,1.0
372.0,23.0,9.0,4.0,5.0,1.0,11.0,2.0,1.0
384.0,23.0,10.0,5.0,5.0,1.0,11.0,2.0,1.0
396.0,24.0,9.0,5.0,4.0,1.0,11.0,2.0,1.0
408.0,27.0,8.0,5.0,3.0,1.0,13.0,2.0,1.0
420.0,29.0,4.0,4.0,0.0,1.0,17.0,2.0,1.0
432.0,31.0,1.0,1.0,0.0,1.0,20.0,2.0,1.0
444.0,31.0,1.0,1.0,0.0,0.0,21.0,2.0,1.0
456.0,31.0,4.0,2.0,2.0,0.0,21.0,2.0,1.0
468.0,32.0,5.0,2.0,3.0,0.0,22.0,2.0,1.0
480.0,32.0,8.0,2.0,6.0,1.0,22.0,3.0,1.0
492.0,33.0,8.0,2.0,6.0,1.0,22.0,3.0,1.0
504.0,33.0,7.0,2.0,5.0,1.0,23.0,3.0,1.0
516.0,33.0,5.0,1.0,4.0,1.0,25.0,3.0,1.0
528.0,34.0,1.0,0.0,1.0,1.0,28.0,3.0,1.0
