"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
72.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
84.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
96.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
108.0,6.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
120.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
132.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
144.0,9.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0
156.0,10.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0
168.0,11.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0
180.0,12.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0
192.0,12.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0
204.0,13.0,4.0,2.0,2.0,0.0,5.0,0.0,0.0
216.0,16.0,5.0,2.0,3.0,0.0,6.0,0.0,0.0
228.0,19.0,5.0,2.0,3.0,0.0,6.0,0.0,0.0
240.0,20.0,4.0,1.0,3.0,0.0,7.0,0.0,0.0
252.0,20.0,5.0,1.0,4.0,0.0,8.0,0.0,0.0
264.0,21.0,5.0,1.0,4.0,0.0,9.0,0.0,0.0
276.0,24.0,6.0,2.0,4.0,0.0,10.0,0.0,0.0
288.0,26.0,7.0,1.0,6.0,0.0,11.0,0.0,0.0
300.0,27.0,8.0,2.0,6.0,0.0,12.0,0.0,0.0
312.0,28.0,6.0,2.0,4.0,0.0,14.0,0.0,0.0
324.0,30.0,7.0,3.0,4.0,0.0,15.0,0.0,0.0
336.0,30.0,7.0,3.0,4.0,0.0,17.0,0.0,0.0
348.0,35.0,7.0,2.0,5.0,0.0,19.0,0.0,0.0
360.0,39.0,7.0,2.0,5.0,0.0,20.0,0.0,0.0
372.0,39.0,9.0,4.0,5.0,0.0,20.0,0.0,0.0
384.0,41.0,7.0,3.0,4.0,0.0,22.0,0.0,0.0
396.0,45.0,7.0,3.0,4.0,0.0,24.0,0.0,0.0
408.0,47.0,8.0,4.0,4.0,0.0,25.0,0.0,0.0
420.0,48.0,8.0,5.0,3.0,0.0,27.0,0.0,0.0
432.0,51.0,12.0,7.0,5.0,0.0,28.0,0.0,0.0
444.0,54.0,13.0,7.0,6.0,0.0,30.0,0.0,0.0
456.0,56.0,12.0,7.0,5.0,0.0,31.0,0.0,0.0
468.0,57.0,13.0,8.0,5.0,0.0,34.0,0.0,0.0
480.0,58.0,16.0,9.0,7.0,0.0,35.0,0.0,0.0
492.0,61.0,15.0,8.0,7.0,0.0,37.0,0.0,0.0
504.0,68.0,12.0,7.0,5.0,0.0,42.0,0.0,0.0
516.0,72.0,13.0,7.0,6.0,0.0,43.0,0.0,0.0
528.0,74.0,11.0,5.0,6.0,0.0,46.0,0.0,0.0
540.0,77.0,9.0,3.0,6.0,0.0,50.0,0.0,0.0
552.0,79.0,7.0,1.0,6.0,0.0,53.0,0.0,0.0
564.0,83.0,13.0,5.0,8.0,0.0,55.0,0.0,0.0
576.0,87.0,16.0,6.0,10.0,1.0,56.0,1.0,0.0
588.0,91.0,19.0,6.0,13.0,1.0,56.0,1.0,0.0
600.0,96.0,20.0,8.0,12.0,1.0,58.0,1.0,0.0
612.0,104.0,17.0,7.0,10.0,1.0,62.0,1.0,0.0
624.0,111.0,13.0,6.0,7.0,1.0,68.0,1.0,0.0
636.0,114.0,15.0,6.0,9.0,1.0,71.0,1.0,0.0
648.0,116.0,13.0,6.0,7.0,1.0,75.0,1.0,0.0
660.0,117.0,18.0,7.0,11.0,1.0,76.0,1.0,0.0
672.0,118.0,24.0,9.0,15.0,0.0,78.0,1.0,0.0
684.0,121.0,27.0,10.0,17.0,0.0,84.0,1.0,0.0
696.0,128.0,28.0,11.0,17.0,1.0,86.0,2.0,0.0
708.0,132.0,25.0,9.0,16.0,1.0,91.0,2.0,0.0
720.0,135.0,23.0,9.0,14.0,1.0,95.0,2.0,0.0
732.0,138.0,16.0,6.0,10.0,1.0,102.0,2.0,0.0
744.0,143.0,14.0,5.0,9.0,1.0,106.0,2.0,0.0
756.0,150.0,13.0,4.0,9.0,2.0,112.0,3.0,0.0
768.0,154.0,17.0,6.0,11.0,2.0,115.0,3.0,0.0
780.0,158.0,20.0,8.0,12.0,2.0,116.0,3.0,0.0
792.0,163.0,18.0,8.0,10.0,2.0,119.0,3.0,0.0
804.0,167.0,22.0,8.0,14.0,1.0,120.0,3.0,1.0
816.0,168.0,27.0,8.0,19.0,1.0,121.0,3.0,1.0
828.0,173.0,25.0,7.0,18.0,1.0,128.0,3.0,1.0
840.0,178.0,24.0,7.0,17.0,2.0,132.0,4.0,1.0
852.0,180.0,23.0,7.0,16.0,3.0,137.0,5.0,1.0
864.0,183.0,21.0,6.0,15.0,3.0,141.0,5.0,1.0
876.0,187.0,22.0,7.0,15.0,3.0,145.0,6.0,2.0
888.0,192.0,21.0,8.0,13.0,3.0,151.0,6.0,2.0
900.0,200.0,18.0,8.0,10.0,3.0,155.0,6.0,2.0
912.0,208.0,22.0,10.0,12.0,4.0,158.0,7.0,2.0
924.0,214.0,18.0,6.0,12.0,5.0,162.0,8.0,2.0
936.0,217.0,16.0,5.0,11.0,5.0,165.0,8.0,2.0
948.0,218.0,22.0,7.0,15.0,4.0,167.0,8.0,2.0
960.0,225.0,28.0,12.0,16.0,4.0,172.0,8.0,2.0
972.0,226.0,28.0,10.0,18.0,2.0,177.0,8.0,2.0
984.0,230.0,30.0,12.0,18.0,2.0,180.0,8.0,2.0
996.0,237.0,29.0,11.0,18.0,2.0,183.0,8.0,2.0
1008.0,248.0,22.0,7.0,15.0,3.0,194.0,9.0,2.0
1020.0,255.0,22.0,7.0,15.0,3.0,198.0,9.0,2.0
1032.0,260.0,20.0,8.0,12.0,1.0,203.0,9.0,3.0
1044.0,265.0,17.0,7.0,10.0,1.0,211.0,9.0,3.0
1056.0,268.0,22.0,8.0,14.0,1.0,212.0,9.0,3.0
1068.0,280.0,24.0,11.0,13.0,1.0,217.0,9.0,3.0
1080.0,290.0,33.0,13.0,20.0,1.0,218.0,9.0,3.0
1092.0,302.0,31.0,14.0,17.0,1.0,223.0,9.0,3.0
1104.0,305.0,34.0,16.0,18.0,1.0,226.0,9.0,3.0
1116.0,311.0,36.0,17.0,19.0,1.0,231.0,10.0,3.0
1128.0,314.0,32.0,16.0,16.0,2.0,242.0,11.0,3.0
1140.0,316.0,38.0,21.0,17.0,2.0,250.0,11.0,3.0
1152.0,323.0,40.0,17.0,23.0,3.0,256.0,12.0,3.0
1164.0,326.0,46.0,17.0,29.0,5.0,261.0,14.0,3.0
1176.0,332.0,40.0,16.0,24.0,5.0,268.0,14.0,3.0
1188.0,334.0,32.0,12.0,20.0,5.0,276.0,14.0,3.0
1200.0,335.0,24.0,8.0,16.0,5.0,286.0,14.0,3.0
1212.0,339.0,23.0,7.0,16.0,5.0,293.0,14.0,3.0
1224.0,342.0,18.0,6.0,12.0,4.0,300.0,14.0,4.0
1236.0,345.0,21.0,10.0,11.0,3.0,304.0,14.0,4.0
1248.0,348.0,20.0,8.0,12.0,2.0,307.0,14.0,5.0
1260.0,349.0,18.0,6.0,12.0,2.0,311.0,14.0,5.0
1272.0,352.0,18.0,6.0,12.0,0.0,314.0,14.0,5.0
1284.0,358.0,13.0,3.0,10.0,0.0,323.0,14.0,5.0
1296.0,362.0,16.0,4.0,12.0,0.0,325.0,14.0,5.0
1308.0,365.0,13.0,4.0,9.0,0.0,329.0,14.0,5.0
1320.0,368.0,13.0,3.0,10.0,0.0,331.0,14.0,5.0
1332.0,369.0,13.0,3.0,10.0,0.0,333.0,14.0,5.0
1344.0,370.0,13.0,5.0,8.0,0.0,337.0,14.0,5.0
1356.0,373.0,17.0,7.0,10.0,0.0,341.0,14.0,5.0
1368.0,377.0,17.0,8.0,9.0,0.0,342.0,14.0,5.0
1380.0,384.0,17.0,7.0,10.0,0.0,344.0,14.0,5.0
1392.0,388.0,16.0,7.0,9.0,0.0,347.0,14.0,5.0
1404.0,390.0,12.0,4.0,8.0,0.0,353.0,14.0,5.0
1416.0,390.0,13.0,6.0,7.0,0.0,356.0,14.0,5.0
1428.0,396.0,12.0,6.0,6.0,0.0,360.0,14.0,5.0
1440.0,402.0,12.0,7.0,5.0,0.0,362.0,14.0,5.0
