"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
96.0,7.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
108.0,8.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
120.0,8.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0
132.0,8.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0
144.0,9.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0
156.0,9.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0
168.0,9.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0
180.0,9.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0
192.0,9.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0
204.0,10.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0
216.0,11.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0
228.0,12.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0
240.0,13.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0
252.0,13.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0
264.0,14.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0
276.0,14.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0
288.0,14.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0
300.0,15.0,3.0,1.0,2.0,0.0,9.0,0.0,0.0
312.0,17.0,4.0,2.0,2.0,0.0,9.0,0.0,0.0
324.0,18.0,4.0,3.0,1.0,0.0,10.0,0.0,0.0
336.0,19.0,3.0,3.0,0.0,0.0,11.0,0.0,0.0
348.0,20.0,3.0,2.0,1.0,0.0,12.0,0.0,0.0
360.0,22.0,4.0,2.0,2.0,0.0,13.0,0.0,0.0
372.0,23.0,4.0,2.0,2.0,0.0,13.0,0.0,0.0
384.0,24.0,4.0,1.0,3.0,0.0,14.0,0.0,0.0
396.0,24.0,5.0,1.0,4.0,0.0,14.0,0.0,0.0
408.0,25.0,6.0,1.0,5.0,0.0,15.0,0.0,0.0
420.0,27.0,7.0,2.0,5.0,0.0,15.0,0.0,0.0
432.0,28.0,5.0,2.0,3.0,0.0,18.0,0.0,0.0
444.0,33.0,6.0,3.0,3.0,0.0,18.0,0.0,0.0
456.0,35.0,5.0,3.0,2.0,0.0,19.0,0.0,0.0
468.0,37.0,3.0,3.0,0.0,0.0,21.0,0.0,0.0
480.0,37.0,5.0,2.0,3.0,0.0,22.0,0.0,0.0
492.0,37.0,5.0,1.0,4.0,0.0,23.0,0.0,0.0
504.0,43.0,6.0,2.0,4.0,0.0,23.0,0.0,0.0
516.0,47.0,11.0,5.0,6.0,0.0,24.0,0.0,0.0
528.0,51.0,13.0,6.0,7.0,0.0,24.0,0.0,0.0
540.0,57.0,13.0,6.0,7.0,0.0,24.0,0.0,0.0
552.0,58.0,14.0,7.0,7.0,0.0,27.0,0.0,0.0
564.0,63.0,13.0,7.0,6.0,0.0,30.0,0.0,0.0
576.0,67.0,12.0,6.0,6.0,0.0,34.0,0.0,0.0
588.0,73.0,12.0,4.0,8.0,1.0,37.0,1.0,0.0
600.0,78.0,14.0,6.0,8.0,1.0,39.0,1.0,0.0
612.0,83.0,18.0,7.0,11.0,1.0,42.0,1.0,0.0
624.0,87.0,21.0,9.0,12.0,1.0,42.0,1.0,0.0
636.0,91.0,21.0,7.0,14.0,1.0,45.0,1.0,0.0
648.0,97.0,23.0,10.0,13.0,1.0,49.0,1.0,0.0
660.0,97.0,23.0,10.0,13.0,1.0,53.0,1.0,0.0
672.0,101.0,21.0,8.0,13.0,1.0,60.0,1.0,0.0
684.0,102.0,25.0,8.0,17.0,0.0,62.0,1.0,1.0
696.0,107.0,27.0,7.0,20.0,0.0,66.0,1.0,1.0
708.0,115.0,24.0,6.0,18.0,0.0,70.0,1.0,1.0
720.0,118.0,23.0,6.0,17.0,0.0,75.0,1.0,1.0
732.0,126.0,20.0,8.0,12.0,0.0,81.0,1.0,1.0
744.0,128.0,17.0,9.0,8.0,0.0,89.0,1.0,1.0
756.0,137.0,17.0,9.0,8.0,0.0,91.0,1.0,1.0
768.0,139.0,15.0,9.0,6.0,0.0,96.0,1.0,1.0
780.0,142.0,20.0,10.0,10.0,0.0,97.0,1.0,1.0
792.0,149.0,23.0,11.0,12.0,0.0,102.0,1.0,1.0
804.0,158.0,23.0,11.0,12.0,0.0,106.0,1.0,1.0
816.0,169.0,22.0,12.0,10.0,0.0,109.0,1.0,1.0
828.0,171.0,24.0,13.0,11.0,0.0,114.0,1.0,1.0
840.0,174.0,23.0,12.0,11.0,0.0,119.0,1.0,1.0
852.0,183.0,23.0,14.0,9.0,0.0,125.0,1.0,1.0
864.0,188.0,28.0,16.0,12.0,0.0,128.0,1.0,1.0
876.0,194.0,36.0,15.0,21.0,0.0,132.0,1.0,1.0
888.0,201.0,32.0,13.0,19.0,0.0,137.0,1.0,1.0
900.0,207.0,29.0,12.0,17.0,0.0,142.0,1.0,1.0
912.0,209.0,31.0,12.0,19.0,0.0,147.0,1.0,1.0
924.0,223.0,28.0,10.0,18.0,1.0,161.0,2.0,1.0
936.0,228.0,30.0,12.0,18.0,1.0,165.0,2.0,1.0
948.0,232.0,29.0,12.0,17.0,1.0,169.0,2.0,1.0
960.0,240.0,35.0,14.0,21.0,1.0,170.0,2.0,1.0
972.0,244.0,29.0,12.0,17.0,1.0,182.0,2.0,1.0
984.0,255.0,36.0,14.0,22.0,1.0,187.0,2.0,1.0
996.0,262.0,34.0,14.0,20.0,1.0,194.0,2.0,1.0
1008.0,270.0,34.0,12.0,22.0,1.0,199.0,2.0,1.0
1020.0,277.0,35.0,12.0,23.0,2.0,204.0,3.0,1.0
1032.0,287.0,38.0,15.0,23.0,2.0,209.0,3.0,1.0
1044.0,289.0,35.0,17.0,18.0,1.0,218.0,3.0,1.0
1056.0,294.0,33.0,17.0,16.0,2.0,228.0,4.0,1.0
1068.0,301.0,32.0,18.0,14.0,3.0,235.0,5.0,1.0
1080.0,314.0,40.0,23.0,17.0,3.0,237.0,5.0,1.0
1092.0,323.0,34.0,19.0,15.0,3.0,247.0,5.0,1.0
1104.0,326.0,36.0,19.0,17.0,4.0,253.0,6.0,1.0
1116.0,330.0,36.0,16.0,20.0,4.0,258.0,6.0,1.0
1128.0,334.0,42.0,17.0,25.0,6.0,261.0,8.0,1.0
1140.0,340.0,38.0,13.0,25.0,7.0,272.0,10.0,1.0
1152.0,344.0,32.0,10.0,22.0,7.0,281.0,10.0,1.0
1164.0,348.0,38.0,12.0,26.0,8.0,283.0,11.0,1.0
1176.0,353.0,32.0,11.0,21.0,7.0,293.0,11.0,1.0
1188.0,357.0,30.0,13.0,17.0,6.0,301.0,11.0,1.0
1200.0,361.0,24.0,11.0,13.0,5.0,307.0,11.0,2.0
1212.0,367.0,25.0,9.0,16.0,5.0,312.0,11.0,2.0
1224.0,370.0,22.0,10.0,12.0,5.0,319.0,11.0,2.0
1236.0,376.0,25.0,12.0,13.0,3.0,324.0,11.0,2.0
1248.0,379.0,26.0,10.0,16.0,1.0,329.0,11.0,3.0
1260.0,381.0,24.0,11.0,13.0,2.0,335.0,12.0,3.0
1272.0,387.0,23.0,9.0,14.0,1.0,339.0,12.0,4.0
1284.0,389.0,20.0,7.0,13.0,1.0,344.0,12.0,4.0
1296.0,393.0,21.0,8.0,13.0,2.0,349.0,13.0,4.0
1308.0,394.0,21.0,9.0,12.0,3.0,354.0,14.0,4.0
1320.0,396.0,22.0,10.0,12.0,3.0,357.0,14.0,4.0
1332.0,397.0,20.0,8.0,12.0,4.0,361.0,15.0,4.0
1344.0,401.0,22.0,9.0,13.0,4.0,363.0,15.0,4.0
1356.0,401.0,24.0,8.0,16.0,4.0,364.0,15.0,4.0
1368.0,403.0,14.0,3.0,11.0,3.0,372.0,15.0,5.0
1380.0,404.0,12.0,1.0,11.0,4.0,376.0,16.0,5.0
1392.0,404.0,10.0,0.0,10.0,5.0,379.0,17.0,5.0
1404.0,405.0,10.0,1.0,9.0,5.0,381.0,17.0,5.0
1416.0,410.0,11.0,3.0,8.0,3.0,384.0,17.0,6.0
1428.0,414.0,6.0,3.0,3.0,2.0,389.0,17.0,6.0
1440.0,418.0,7.0,4.0,3.0,2.0,389.0,17.0,6.0
