"5-15","16-25","26-40","41-64","65+","tick"
3.1444708680142686,3.076047358834244,2.729516806722689,2.54155585106383,1.3668971477960241,12.0
4.104637336504162,3.947176684881603,3.5698529411764706,3.515292553191489,2.601123595505618,24.0
4.214030915576695,4.073315118397086,3.669642857142857,3.5718085106382977,2.9152981849611064,36.0
4.584423305588585,4.560109289617486,4.060924369747899,3.903590425531915,3.1542783059636994,48.0
4.514268727705113,4.434426229508197,4.0210084033613445,3.8058510638297873,3.0877268798617115,60.0
4.514268727705113,4.481785063752277,3.9585084033613445,3.8626994680851063,3.0773552290406223,72.0
4.618311533888228,4.530510018214936,4.005252100840337,3.7613031914893615,3.024200518582541,84.0
4.576694411414982,4.506830601092896,3.928046218487395,3.7639627659574466,3.1205704407951598,96.0
4.071938168846611,4.102459016393443,3.688025210084034,3.591952111739275,2.9602420051858256,108.0
4.13436385255648,4.036429872495447,3.648109243697479,3.5676754240106416,2.9883318928262748,120.0
4.502972651605232,4.454462659380692,3.8566176470588234,3.7815098104423015,3.0864304235090754,132.0
4.6361474435196195,4.602914389799635,4.0,3.8224143664782173,3.1534140017286085,144.0
4.475624256837099,4.480418943533698,4.017857142857143,3.803126039241769,3.1560069144338807,156.0
4.563614744351962,4.53551912568306,4.103466386554622,3.807449285001663,3.1166810717372515,168.0
4.549940546967895,4.546448087431694,3.9159663865546217,3.7778516794146992,3.100259291270527,180.0
4.059453032104638,4.124772313296903,3.7300420168067228,3.5640172929830394,2.9420916162489195,192.0
4.157550535077289,4.010018214936248,3.7032563025210083,3.61968085106383,2.9096802074330164,204.0
4.533888228299643,4.544171220400728,4.023634453781512,3.8394281914893615,3.2121866897147795,216.0
4.541617122473246,4.573315118397086,4.031512605042017,3.8101728723404253,3.1166810717372515,228.0
4.525564803804994,4.535063752276867,3.964810924369748,3.765957446808511,3.0834053586862575,240.0
4.460166468489893,4.6070127504553735,3.971113445378151,3.8377659574468086,3.1361279170267933,252.0
4.559453032104638,4.527777777777778,3.979516806722689,3.7679521276595747,3.1733679204496323,264.0
4.224137931034483,4.060109289617486,3.769432773109244,3.5398936170212765,3.0246433203631646,276.0
4.16230677764566,4.1256830601092895,3.783613445378151,3.5944148936170213,2.9948119325551232,288.0
4.560047562425684,4.499089253187614,4.051470588235294,3.781582446808511,3.0704712494595765,300.0
4.541617122473246,4.438524590163935,3.9774159663865545,3.814494680851064,3.057501080847384,312.0
4.602853745541022,4.600182149362477,3.9448529411764706,3.79155585106383,3.1284046692607004,324.0
4.583828775267539,4.593351548269581,4.097689075630252,3.7878989361702127,3.0834414180717684,336.0
4.625445897740785,4.5423497267759565,4.001575630252101,3.852061170212766,3.1154345006485085,348.0
4.139120095124851,4.0050091074681236,3.6281512605042017,3.5668218085106385,2.8690012970168612,360.0
4.220570749108204,4.129326047358834,3.645483193277311,3.5924202127659575,2.8988326848249026,372.0
4.487514863258026,4.530054644808743,3.961659663865546,3.863031914893617,3.095546908776481,384.0
4.537455410225921,4.47040072859745,3.98109243697479,3.742021276595745,3.1184608733246866,396.0
4.577288941736029,4.550546448087432,3.970063025210084,3.8081781914893615,3.0869001297016863,408.0
4.4613555291319855,4.5596539162112935,3.9910714285714284,3.788563829787234,3.1392131431041936,420.0
4.4774078478002375,4.536885245901639,3.8918067226890756,3.8241356382978724,3.1024643320363166,432.0
4.179548156956005,4.149817850637523,3.698529411764706,3.632978723404255,3.014699524427151,444.0
4.113555291319857,4.131602914389799,3.6554621848739495,3.5757978723404253,2.9074794638996972,456.0
4.576099881093936,4.540528233151184,4.1664915966386555,3.9335106382978724,3.3782965845222654,468.0
4.428656361474435,4.514116575591985,4.035714285714286,3.8287898936170213,3.2810203199308257,480.0
4.555291319857313,4.5063752276867035,3.9831932773109244,3.804521276595745,3.246107266435986,492.0
4.498810939357908,4.504553734061931,3.965861344537815,3.8218085106382977,3.2850346020761245,504.0
4.419738406658739,4.441712204007286,3.8923319327731094,3.746343085106383,3.2106401384083045,516.0
4.189655172413793,4.091985428051002,3.683298319327731,3.6456117021276597,3.2063148788927336,528.0
4.011296076099881,4.049180327868853,3.7725840336134455,3.543218085106383,3.0705017301038064,540.0
4.4488703923900115,4.530965391621129,4.109243697478991,3.731715425531915,3.2551903114186853,552.0
4.538049940546968,4.478597449908925,3.9490546218487395,3.7516622340425534,3.1924740484429064,564.0
4.456599286563614,4.58287795992714,3.9747899159663866,3.79155585106383,3.2660034602076125,576.0
4.431629013079667,4.479052823315119,4.012605042016807,3.804853723404255,3.3698096885813147,588.0
4.48692033293698,4.429872495446266,3.884453781512605,3.7672872340425534,3.323961937716263,600.0
4.157550535077289,4.110655737704918,3.817752100840336,3.627992021276596,3.1241349480968856,612.0
4.105826397146254,4.1329690346083785,3.7205882352941178,3.650598404255319,3.1310553633217992,624.0
4.79191438763377,4.818761384335155,4.242121848739496,4.065824468085107,3.734861591695502,636.0
4.829369797859691,4.894353369763206,4.288340336134453,4.10970744680851,3.6258650519031144,648.0
4.807372175980975,4.792805100182149,4.241596638655462,4.058843085106383,3.609861591695502,660.0
4.9042806183115335,4.913479052823315,4.394957983193278,4.146941489361702,3.6189446366782008,672.0
4.890011890606421,4.926684881602914,4.36344537815126,4.16655585106383,3.7058823529411766,684.0
4.717003567181926,4.77959927140255,4.158088235294118,4.16123670212766,3.561418685121107,696.0
4.671224732461355,4.82695810564663,4.348214285714286,4.195146276595745,3.5475778546712804,708.0
4.42449464922711,4.369307832422587,3.89968487394958,3.6053856382978724,3.1038511466897445,720.0
