"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
96.0,8.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
108.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
120.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
132.0,16.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0
144.0,17.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0
156.0,21.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0
168.0,22.0,8.0,3.0,5.0,0.0,3.0,0.0,0.0
180.0,24.0,7.0,3.0,4.0,0.0,4.0,0.0,0.0
192.0,29.0,7.0,2.0,5.0,0.0,6.0,0.0,0.0
204.0,30.0,12.0,6.0,6.0,0.0,7.0,0.0,0.0
216.0,33.0,12.0,6.0,6.0,0.0,9.0,0.0,0.0
228.0,34.0,12.0,6.0,6.0,0.0,10.0,0.0,0.0
240.0,35.0,13.0,6.0,7.0,0.0,12.0,0.0,0.0
252.0,37.0,11.0,5.0,6.0,0.0,17.0,0.0,0.0
264.0,38.0,14.0,5.0,9.0,0.0,17.0,0.0,0.0
276.0,44.0,12.0,5.0,7.0,0.0,21.0,0.0,0.0
288.0,47.0,12.0,4.0,8.0,0.0,22.0,0.0,0.0
300.0,49.0,10.0,3.0,7.0,0.0,25.0,0.0,0.0
312.0,50.0,8.0,2.0,6.0,0.0,30.0,0.0,0.0
324.0,52.0,7.0,2.0,5.0,1.0,32.0,1.0,0.0
336.0,52.0,8.0,1.0,7.0,1.0,33.0,1.0,0.0
348.0,52.0,12.0,3.0,9.0,1.0,34.0,1.0,0.0
360.0,57.0,11.0,2.0,9.0,1.0,37.0,1.0,0.0
372.0,58.0,14.0,4.0,10.0,1.0,37.0,1.0,0.0
384.0,62.0,12.0,4.0,8.0,1.0,40.0,1.0,0.0
396.0,64.0,11.0,4.0,7.0,1.0,40.0,1.0,0.0
408.0,66.0,10.0,3.0,7.0,1.0,43.0,1.0,0.0
420.0,67.0,9.0,2.0,7.0,1.0,46.0,1.0,0.0
432.0,69.0,9.0,3.0,6.0,1.0,48.0,1.0,0.0
444.0,73.0,11.0,4.0,7.0,0.0,50.0,1.0,1.0
456.0,79.0,12.0,5.0,7.0,0.0,51.0,1.0,1.0
468.0,85.0,12.0,5.0,7.0,0.0,53.0,1.0,1.0
480.0,90.0,14.0,5.0,9.0,0.0,53.0,1.0,1.0
492.0,93.0,7.0,1.0,6.0,0.0,60.0,1.0,1.0
504.0,95.0,12.0,4.0,8.0,0.0,62.0,1.0,1.0
516.0,100.0,14.0,4.0,10.0,0.0,63.0,1.0,1.0
528.0,109.0,17.0,6.0,11.0,0.0,63.0,1.0,1.0
540.0,119.0,20.0,8.0,12.0,0.0,67.0,1.0,1.0
552.0,122.0,23.0,8.0,15.0,0.0,69.0,1.0,1.0
564.0,131.0,25.0,9.0,16.0,0.0,72.0,1.0,1.0
576.0,138.0,24.0,9.0,15.0,0.0,77.0,1.0,1.0
588.0,147.0,29.0,10.0,19.0,0.0,80.0,1.0,1.0
600.0,153.0,31.0,12.0,19.0,0.0,84.0,1.0,1.0
612.0,160.0,33.0,13.0,20.0,0.0,91.0,1.0,1.0
624.0,171.0,32.0,15.0,17.0,0.0,96.0,1.0,1.0
636.0,179.0,37.0,17.0,20.0,1.0,102.0,2.0,1.0
648.0,188.0,38.0,19.0,19.0,2.0,110.0,3.0,1.0
660.0,199.0,36.0,18.0,18.0,2.0,117.0,3.0,1.0
672.0,206.0,38.0,20.0,18.0,2.0,121.0,3.0,1.0
684.0,215.0,38.0,18.0,20.0,3.0,133.0,4.0,1.0
696.0,226.0,40.0,15.0,25.0,3.0,141.0,4.0,1.0
708.0,235.0,46.0,17.0,29.0,5.0,144.0,6.0,1.0
720.0,246.0,43.0,15.0,28.0,5.0,152.0,6.0,1.0
732.0,247.0,42.0,13.0,29.0,6.0,162.0,7.0,1.0
744.0,252.0,39.0,15.0,24.0,7.0,172.0,8.0,1.0
756.0,263.0,44.0,15.0,29.0,6.0,178.0,8.0,2.0
768.0,271.0,43.0,16.0,27.0,5.0,187.0,8.0,2.0
780.0,284.0,44.0,17.0,27.0,5.0,194.0,8.0,2.0
792.0,290.0,42.0,14.0,28.0,5.0,201.0,9.0,3.0
804.0,297.0,41.0,14.0,27.0,6.0,210.0,10.0,3.0
816.0,301.0,36.0,12.0,24.0,4.0,222.0,10.0,4.0
828.0,309.0,35.0,14.0,21.0,3.0,231.0,10.0,5.0
840.0,318.0,40.0,17.0,23.0,3.0,235.0,11.0,6.0
852.0,324.0,38.0,18.0,20.0,3.0,244.0,11.0,6.0
864.0,332.0,37.0,17.0,20.0,3.0,251.0,11.0,6.0
876.0,338.0,41.0,17.0,24.0,4.0,254.0,12.0,6.0
888.0,347.0,39.0,16.0,23.0,5.0,262.0,13.0,6.0
900.0,355.0,38.0,16.0,22.0,3.0,272.0,13.0,6.0
912.0,362.0,32.0,13.0,19.0,3.0,282.0,13.0,6.0
924.0,369.0,35.0,16.0,19.0,3.0,287.0,13.0,6.0
936.0,380.0,36.0,19.0,17.0,3.0,295.0,13.0,6.0
948.0,396.0,34.0,17.0,17.0,3.0,300.0,13.0,6.0
960.0,413.0,37.0,20.0,17.0,2.0,308.0,13.0,6.0
972.0,425.0,37.0,18.0,19.0,3.0,314.0,14.0,6.0
984.0,444.0,43.0,18.0,25.0,3.0,318.0,14.0,6.0
996.0,455.0,48.0,19.0,29.0,2.0,328.0,14.0,6.0
1008.0,465.0,49.0,20.0,29.0,1.0,337.0,14.0,6.0
1020.0,472.0,61.0,26.0,35.0,3.0,346.0,16.0,6.0
1032.0,492.0,68.0,30.0,38.0,3.0,355.0,16.0,6.0
1044.0,508.0,66.0,31.0,35.0,3.0,365.0,16.0,6.0
1056.0,521.0,70.0,31.0,39.0,6.0,375.0,19.0,6.0
1068.0,532.0,68.0,32.0,36.0,7.0,388.0,20.0,6.0
1080.0,544.0,68.0,33.0,35.0,7.0,396.0,20.0,6.0
1092.0,552.0,63.0,26.0,37.0,8.0,417.0,22.0,7.0
1104.0,561.0,68.0,29.0,39.0,8.0,428.0,22.0,7.0
1116.0,583.0,69.0,27.0,42.0,7.0,443.0,23.0,7.0
1128.0,598.0,71.0,26.0,45.0,7.0,453.0,23.0,7.0
1140.0,617.0,71.0,24.0,47.0,8.0,460.0,24.0,7.0
1152.0,622.0,70.0,26.0,44.0,7.0,472.0,24.0,7.0
1164.0,633.0,64.0,24.0,40.0,6.0,492.0,24.0,7.0
1176.0,655.0,66.0,24.0,42.0,4.0,507.0,24.0,8.0
1188.0,665.0,67.0,26.0,41.0,5.0,520.0,25.0,8.0
1200.0,677.0,67.0,24.0,43.0,5.0,531.0,25.0,8.0
1212.0,688.0,71.0,25.0,46.0,4.0,543.0,26.0,9.0
1224.0,699.0,72.0,27.0,45.0,3.0,556.0,26.0,10.0
1236.0,713.0,65.0,23.0,42.0,3.0,577.0,26.0,10.0
1248.0,722.0,68.0,23.0,45.0,3.0,587.0,27.0,10.0
1260.0,725.0,58.0,19.0,39.0,3.0,603.0,27.0,10.0
1272.0,734.0,58.0,22.0,36.0,3.0,617.0,27.0,10.0
1284.0,746.0,57.0,22.0,35.0,5.0,628.0,29.0,10.0
1296.0,751.0,58.0,23.0,35.0,4.0,642.0,29.0,10.0
1308.0,757.0,54.0,20.0,34.0,3.0,655.0,29.0,10.0
1320.0,763.0,49.0,18.0,31.0,3.0,666.0,29.0,10.0
1332.0,774.0,46.0,18.0,28.0,3.0,674.0,29.0,10.0
1344.0,777.0,41.0,13.0,28.0,2.0,689.0,29.0,11.0
1356.0,780.0,41.0,14.0,27.0,4.0,697.0,31.0,11.0
1368.0,791.0,37.0,14.0,23.0,4.0,706.0,31.0,11.0
1380.0,803.0,35.0,15.0,20.0,3.0,716.0,31.0,12.0
