"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
72.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
96.0,9.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
108.0,9.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0
120.0,10.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0
132.0,13.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0
144.0,13.0,5.0,2.0,3.0,0.0,3.0,0.0,0.0
156.0,13.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0
168.0,14.0,5.0,3.0,2.0,0.0,5.0,0.0,0.0
180.0,17.0,6.0,3.0,3.0,0.0,5.0,0.0,0.0
192.0,20.0,7.0,3.0,4.0,0.0,6.0,0.0,0.0
204.0,20.0,5.0,2.0,3.0,0.0,8.0,0.0,0.0
216.0,21.0,5.0,2.0,3.0,0.0,8.0,0.0,0.0
228.0,21.0,7.0,3.0,4.0,0.0,9.0,0.0,0.0
240.0,21.0,5.0,3.0,2.0,0.0,11.0,0.0,0.0
252.0,22.0,6.0,3.0,3.0,0.0,13.0,0.0,0.0
264.0,22.0,7.0,4.0,3.0,0.0,13.0,0.0,0.0
276.0,24.0,7.0,4.0,3.0,0.0,13.0,0.0,0.0
288.0,30.0,6.0,4.0,2.0,0.0,15.0,0.0,0.0
300.0,34.0,3.0,2.0,1.0,0.0,18.0,0.0,0.0
312.0,34.0,3.0,2.0,1.0,0.0,18.0,0.0,0.0
324.0,37.0,4.0,3.0,1.0,0.0,19.0,0.0,0.0
336.0,39.0,3.0,1.0,2.0,0.0,21.0,0.0,0.0
348.0,41.0,9.0,2.0,7.0,0.0,21.0,0.0,0.0
360.0,48.0,13.0,3.0,10.0,0.0,21.0,0.0,0.0
372.0,52.0,13.0,3.0,10.0,0.0,22.0,0.0,0.0
384.0,56.0,14.0,3.0,11.0,0.0,23.0,0.0,0.0
396.0,58.0,12.0,2.0,10.0,1.0,26.0,1.0,0.0
408.0,60.0,10.0,2.0,8.0,1.0,30.0,1.0,0.0
420.0,62.0,11.0,6.0,5.0,1.0,34.0,1.0,0.0
432.0,68.0,15.0,11.0,4.0,1.0,36.0,1.0,0.0
444.0,76.0,16.0,11.0,5.0,1.0,36.0,1.0,0.0
456.0,81.0,20.0,11.0,9.0,1.0,38.0,1.0,0.0
468.0,87.0,20.0,10.0,10.0,1.0,39.0,1.0,0.0
480.0,93.0,19.0,8.0,11.0,1.0,42.0,1.0,0.0
492.0,94.0,18.0,4.0,14.0,0.0,49.0,1.0,1.0
504.0,97.0,20.0,5.0,15.0,1.0,54.0,2.0,1.0
516.0,101.0,24.0,8.0,16.0,2.0,56.0,3.0,1.0
528.0,110.0,29.0,10.0,19.0,2.0,60.0,3.0,1.0
540.0,118.0,30.0,11.0,19.0,3.0,61.0,4.0,1.0
552.0,129.0,24.0,10.0,14.0,3.0,68.0,4.0,1.0
564.0,133.0,23.0,9.0,14.0,3.0,72.0,4.0,1.0
576.0,139.0,20.0,8.0,12.0,4.0,79.0,5.0,1.0
588.0,144.0,20.0,7.0,13.0,4.0,84.0,5.0,1.0
600.0,151.0,30.0,8.0,22.0,4.0,88.0,6.0,2.0
612.0,153.0,34.0,8.0,26.0,4.0,89.0,7.0,3.0
624.0,158.0,34.0,9.0,25.0,4.0,94.0,7.0,3.0
636.0,164.0,39.0,10.0,29.0,3.0,97.0,7.0,4.0
648.0,171.0,32.0,12.0,20.0,3.0,107.0,7.0,4.0
660.0,180.0,30.0,14.0,16.0,3.0,114.0,7.0,4.0
672.0,187.0,29.0,13.0,16.0,3.0,119.0,7.0,4.0
684.0,197.0,22.0,13.0,9.0,3.0,128.0,7.0,4.0
696.0,208.0,27.0,14.0,13.0,3.0,131.0,8.0,5.0
708.0,231.0,32.0,18.0,14.0,2.0,135.0,8.0,5.0
720.0,239.0,31.0,16.0,15.0,2.0,142.0,8.0,5.0
732.0,250.0,34.0,17.0,17.0,1.0,146.0,8.0,6.0
744.0,264.0,41.0,20.0,21.0,1.0,151.0,8.0,6.0
756.0,277.0,48.0,24.0,24.0,2.0,158.0,9.0,6.0
768.0,298.0,57.0,29.0,28.0,4.0,163.0,11.0,6.0
