"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84.0,8.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0
96.0,15.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0
108.0,18.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0
120.0,22.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0
132.0,27.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0
144.0,29.0,5.0,3.0,2.0,1.0,4.0,1.0,0.0
156.0,33.0,6.0,2.0,4.0,1.0,6.0,1.0,0.0
168.0,33.0,10.0,4.0,6.0,1.0,8.0,1.0,0.0
180.0,42.0,14.0,5.0,9.0,1.0,8.0,1.0,0.0
192.0,45.0,21.0,7.0,14.0,2.0,8.0,2.0,0.0
204.0,49.0,20.0,7.0,13.0,2.0,9.0,2.0,0.0
216.0,53.0,18.0,7.0,11.0,2.0,13.0,2.0,0.0
228.0,59.0,19.0,9.0,10.0,2.0,16.0,2.0,0.0
240.0,60.0,18.0,7.0,11.0,2.0,21.0,2.0,0.0
252.0,69.0,22.0,9.0,13.0,1.0,24.0,2.0,0.0
264.0,73.0,19.0,8.0,11.0,1.0,28.0,2.0,0.0
276.0,78.0,21.0,7.0,14.0,2.0,31.0,3.0,0.0
288.0,79.0,22.0,7.0,15.0,2.0,33.0,3.0,0.0
300.0,81.0,20.0,9.0,11.0,2.0,42.0,3.0,0.0
312.0,82.0,19.0,10.0,9.0,1.0,46.0,3.0,1.0
324.0,88.0,23.0,11.0,12.0,3.0,47.0,5.0,1.0
336.0,94.0,25.0,14.0,11.0,4.0,49.0,6.0,1.0
348.0,100.0,22.0,13.0,9.0,4.0,55.0,6.0,1.0
360.0,103.0,17.0,9.0,8.0,4.0,61.0,6.0,1.0
372.0,106.0,15.0,7.0,8.0,4.0,66.0,6.0,1.0
384.0,109.0,18.0,10.0,8.0,3.0,69.0,6.0,1.0
396.0,119.0,16.0,6.0,10.0,3.0,74.0,6.0,1.0
408.0,123.0,17.0,7.0,10.0,4.0,75.0,7.0,1.0
420.0,128.0,23.0,11.0,12.0,3.0,77.0,7.0,1.0
432.0,134.0,21.0,11.0,10.0,2.0,81.0,7.0,2.0
444.0,141.0,20.0,9.0,11.0,1.0,88.0,7.0,2.0
456.0,144.0,28.0,13.0,15.0,2.0,90.0,8.0,2.0
468.0,149.0,26.0,15.0,11.0,2.0,94.0,8.0,2.0
480.0,154.0,23.0,12.0,11.0,2.0,100.0,8.0,2.0
492.0,156.0,27.0,13.0,14.0,2.0,104.0,8.0,2.0
504.0,162.0,28.0,17.0,11.0,2.0,109.0,8.0,2.0
516.0,168.0,26.0,16.0,10.0,1.0,115.0,8.0,2.0
528.0,173.0,25.0,14.0,11.0,1.0,121.0,8.0,2.0
