"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
72.0,8.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0
84.0,8.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0
96.0,11.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0
108.0,16.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0
120.0,19.0,5.0,3.0,2.0,1.0,2.0,1.0,0.0
132.0,22.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0
144.0,25.0,3.0,1.0,2.0,2.0,5.0,2.0,0.0
156.0,26.0,7.0,2.0,5.0,2.0,6.0,2.0,0.0
168.0,28.0,8.0,2.0,6.0,1.0,7.0,2.0,1.0
180.0,28.0,11.0,3.0,8.0,1.0,7.0,2.0,1.0
192.0,33.0,14.0,6.0,8.0,1.0,7.0,2.0,1.0
204.0,39.0,14.0,7.0,7.0,1.0,8.0,2.0,1.0
216.0,41.0,13.0,7.0,6.0,1.0,10.0,2.0,1.0
228.0,43.0,10.0,7.0,3.0,1.0,15.0,2.0,1.0
240.0,49.0,12.0,9.0,3.0,1.0,16.0,2.0,1.0
252.0,55.0,14.0,8.0,6.0,1.0,20.0,3.0,1.0
264.0,57.0,15.0,10.0,5.0,1.0,23.0,3.0,1.0
276.0,60.0,17.0,10.0,7.0,1.0,24.0,3.0,1.0
288.0,66.0,16.0,9.0,7.0,2.0,28.0,4.0,1.0
300.0,69.0,21.0,11.0,10.0,2.0,28.0,4.0,1.0
312.0,73.0,19.0,11.0,8.0,2.0,34.0,4.0,1.0
324.0,75.0,15.0,8.0,7.0,2.0,38.0,4.0,1.0
336.0,80.0,17.0,8.0,9.0,2.0,41.0,4.0,1.0
348.0,85.0,20.0,9.0,11.0,2.0,43.0,4.0,1.0
360.0,87.0,17.0,5.0,12.0,1.0,48.0,4.0,2.0
372.0,95.0,17.0,6.0,11.0,1.0,52.0,4.0,2.0
384.0,101.0,19.0,6.0,13.0,1.0,54.0,4.0,2.0
396.0,108.0,21.0,8.0,13.0,0.0,58.0,4.0,2.0
408.0,113.0,19.0,6.0,13.0,0.0,62.0,4.0,2.0
420.0,120.0,15.0,5.0,10.0,1.0,68.0,5.0,2.0
432.0,124.0,20.0,8.0,12.0,1.0,70.0,5.0,2.0
444.0,133.0,23.0,11.0,12.0,1.0,75.0,5.0,2.0
456.0,149.0,29.0,14.0,15.0,1.0,77.0,5.0,2.0
468.0,156.0,32.0,16.0,16.0,2.0,80.0,6.0,2.0
480.0,162.0,32.0,16.0,16.0,2.0,84.0,6.0,2.0
492.0,169.0,31.0,15.0,16.0,2.0,90.0,6.0,2.0
504.0,177.0,38.0,14.0,24.0,2.0,96.0,6.0,2.0
516.0,187.0,36.0,10.0,26.0,3.0,105.0,7.0,2.0
528.0,194.0,42.0,13.0,29.0,3.0,110.0,8.0,2.0
540.0,199.0,43.0,15.0,28.0,4.0,115.0,9.0,2.0
552.0,207.0,39.0,11.0,28.0,4.0,128.0,9.0,2.0
564.0,211.0,40.0,14.0,26.0,4.0,133.0,9.0,2.0
576.0,219.0,45.0,18.0,27.0,3.0,140.0,9.0,2.0
588.0,227.0,40.0,16.0,24.0,3.0,149.0,9.0,2.0
600.0,231.0,40.0,16.0,24.0,3.0,155.0,9.0,2.0
612.0,236.0,37.0,17.0,20.0,3.0,164.0,9.0,2.0
